,Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA
Student_ID,1.0,0.0027321085677790248,-0.018424273551817253,0.0032138362702235305,-0.004363007264956677,0.0011358932733690264,0.0016240225098033108
Study_Hours_Per_Day,0.0027321085677790248,1.0,-0.004655700714783458,-0.02073671656506829,-0.12389539130547643,-0.4429438242895178,0.692645738241127
Extracurricular_Hours_Per_Day,-0.018424273551817253,-0.004655700714783458,1.0,0.011023885625011491,-0.1390807456211056,-0.36978691958369464,-0.030451858163277785
Sleep_Hours_Per_Day,0.0032138362702235305,-0.02073671656506829,0.011023885625011491,1.0,-0.1906705179478829,-0.4566674308874506,-0.0037640185332194235
Social_Hours_Per_Day,-0.004363007264956677,-0.12389539130547643,-0.1390807456211056,-0.1906705179478829,1.0,-0.4161902260415203,-0.08248165758335305
Physical_Activity_Hours_Per_Day,0.0011358932733690264,-0.4429438242895178,-0.36978691958369464,-0.4566674308874506,-0.4161902260415203,1.0,-0.34025338031659236
GPA,0.0016240225098033108,0.692645738241127,-0.030451858163277785,-0.0037640185332194235,-0.08248165758335305,-0.34025338031659236,1.0
