split,n,prevalencia,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,log_loss,tn,fp,fn,tp
train,56,0.375,0.168,0.8214285714285714,0.6896551724137931,0.9523809523809523,0.8,0.9537414965986395,0.926305226668203,0.06102040816326533,0.21559718387062618,26,9,1,20
valid,8,0.625,0.168,0.75,0.8,0.8,0.8,0.7666666666666667,0.8050000000000002,0.3631510204081633,1.0632659727940599,2,1,1,4
test,8,0.75,0.168,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333333,0.861111111111111,0.32805306122448985,1.119491088035087,0,2,2,4
holdout,8,0.75,0.168,0.75,1.0,0.6666666666666666,0.8,0.75,0.9107142857142856,0.4031510179081633,3.136778384069567,2,0,2,4
