Modelo,Dataset,Accuracy,F1-score,Precision,Recall,MAE,R2
Decision Tree,Original,0.8525,0.8281992363215934,0.8204115526390408,0.8439710952244549,,
Decision Tree,Corregido,0.9375,0.9357861668306758,0.9347094231304758,0.9372919478182636,,
Logistic Regression,Original,0.815,0.8198935696702252,0.8038623644743601,0.8415592488983964,,
Logistic Regression,Corregido,0.9975,0.9974666084924912,0.9978768577494691,0.9970760233918128,,
Linear Regression,Original,0.78,0.776943785423386,0.8185284073507626,0.7665376637676568,0.3470118547387198,0.668720636023225
Linear Regression,Corregido,0.7125,0.7155037431829046,0.7750262412433296,0.7186009896536213,0.389593849892528,0.6771454346428134
